id,created_datetime,customer_id,device_id,driver_id,type_id,use_case_id,working_hour_id,end_date,start_date,status_id,vehicle_id,end_date_time,start_date_time,id,name,start_date,end_date,created_datetime,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time,sunday_start_time,sunday_end_time,is_valid,customer_id,module_id,use_case_id,status_id,selectShift
183,2022-07-19 07:36:33.983715+00,146,,725,37,1,23,2022-07-08 00:00:00+00,2022-07-06 07:36:24+00,12,,2022-07-08 00:00:00+00,2022-07-06 07:36:24+00,23,Support,2022-07-06,2022-07-08,2022-07-06 14:17:44.904441+00,,,,,"04:30:00",12:30:00,"04:30:00",12:30:00,"04:30:00",12:30:00,,,,,1,146,1,1,1,1
186,2022-07-28 06:19:57.403924+00,146,,572,37,1,23,2022-07-08 00:00:00+00,2022-07-06 06:19:26+00,1,,2022-07-08 00:00:00+00,2022-07-06 06:19:26+00,23,Support,2022-07-06,2022-07-08,2022-07-06 14:17:44.904441+00,,,,,"04:30:00",12:30:00,"04:30:00",12:30:00,"04:30:00",12:30:00,,,,,1,146,1,1,1,1
187,2022-07-29 12:44:31.495336+00,9,,682,37,1,25,2022-07-30 00:00:00+00,2022-07-29 12:43:52+00,12,,2022-07-30 00:00:00+00,2022-07-29 12:43:52+00,25,new shift,2022-07-29,2022-07-30,2022-07-29 12:49:10.732256+00,,,,,,,,,"06:30:00",12:32:00,"04:34:00",14:30:00,,,1,9,1,1,1,1
188,2022-07-29 12:46:34.055179+00,9,,682,37,1,25,2022-07-30 11:00:00+00,2022-07-30 02:00:00+00,1,,2022-07-30 11:00:00+00,2022-07-30 02:00:00+00,25,new shift,2022-07-29,2022-07-30,2022-07-29 12:49:10.732256+00,,,,,,,,,"06:30:00",12:32:00,"04:34:00",14:30:00,,,1,9,1,1,1,1
191,2022-08-03 10:32:01.588608+00,146,,738,37,1,29,2022-08-12 10:28:33+00,2022-08-04 10:28:32+00,1,,2022-08-12 10:28:33+00,2022-08-04 10:28:32+00,29,Shiftshift,2022-08-03,2022-08-31,2022-08-03 10:31:37.001728+00,"06:30:00",14:30:00,"06:30:00",14:30:00,"06:30:00",14:30:00,"06:30:00",14:30:00,"06:30:00",14:30:00,"06:30:00",14:30:00,"06:30:00",14:30:00,1,146,1,1,1,1
189,2022-08-14 09:23:26.383801+00,9,,668,37,1,25,2022-07-30 12:49:51+00,2022-07-30 12:48:17+00,12,,2022-07-30 12:49:51+00,2022-07-30 12:48:17+00,25,new shift,2022-07-29,2022-07-30,2022-07-29 12:49:10.732256+00,,,,,,,,,"06:30:00",12:32:00,"04:34:00",14:30:00,,,1,9,1,1,1,1
194,2022-08-15 15:16:48.859751+00,9,,746,37,1,33,2022-08-17 00:00:00+00,2022-08-15 15:16:29+00,1,,2022-08-17 00:00:00+00,2022-08-15 15:16:29+00,33,sdfghj,2022-08-15,2022-08-17,2022-08-15 15:16:19.815587+00,"04:30:00",12:30:00,"04:30:00",12:30:00,"04:30:00",12:30:00,,,,,,,,,1,9,1,1,1,1
197,2022-09-15 07:50:14.451241+00,146,,760,37,1,34,2022-09-16 00:00:00+00,2022-09-16 00:00:00+00,1,,2022-09-16 00:00:00+00,2022-09-16 00:00:00+00,34,Employee Pickup,2022-09-16,2022-09-16,2022-09-15 07:48:42.98603+00,,,,,,,,,"06:30:00",14:30:00,,,,,1,146,1,1,1,1
208,2022-11-13 07:20:27.414173+00,3685,,840,37,1,36,2022-11-14 00:00:00+00,2022-11-13 07:20:22+00,1,,2022-11-14 00:00:00+00,2022-11-13 07:20:22+00,36,Shift Morning,2022-11-13,2022-11-14,2022-11-13 07:11:09.599336+00,"04:30:00",12:30:00,,,,,,,,,,,"04:30:00",12:30:00,1,3685,1,1,1,1
209,2022-11-13 07:21:27.549737+00,3685,,841,37,1,37,2022-11-16 00:00:00+00,2022-11-15 07:21:23+00,1,,2022-11-16 00:00:00+00,2022-11-15 07:21:23+00,37,Shift Evening,2022-11-15,2022-11-16,2022-11-13 07:11:36.760769+00,"04:30:00",12:30:00,12:30:00,20:30:00,12:30:00,20:30:00,,,,,,,"04:30:00",12:30:00,1,3685,1,1,1,2
210,2022-11-13 07:22:16.212067+00,3685,,842,37,1,38,2022-11-18 00:00:00+00,2022-11-17 07:22:12+00,1,,2022-11-18 00:00:00+00,2022-11-17 07:22:12+00,38,Shift Night,2022-11-17,2022-11-18,2022-11-13 07:11:57.654845+00,"04:30:00",12:30:00,12:30:00,20:30:00,12:30:00,20:30:00,20:30:00,"04:30:00",20:30:00,"04:30:00",,,"04:30:00",12:30:00,1,3685,1,1,1,3
212,2022-11-17 10:00:47.96832+00,3755,,855,37,1,39,2022-11-18 00:00:00+00,2022-11-17 10:00:41+00,1,,2022-11-18 00:00:00+00,2022-11-17 10:00:41+00,39,moring,2022-11-17,2022-11-18,2022-11-17 09:59:42.318707+00,,,,,,,"04:30:00",12:30:00,"04:30:00",12:30:00,,,,,1,3755,1,1,1,1
