id,created_datetime,customer_id,device_id,driver_id,type_id,use_case_id,working_hour_id,end_date,start_date,status_id,vehicle_id,end_date_time,start_date_time,id,name,start_date,end_date,created_datetime,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time,sunday_start_time,sunday_end_time,is_valid,customer_id,module_id,use_case_id,status_id,selectShift
32,2021-09-07 09:22:36.020673+00,20,,257,38,1,,2022-03-09 09:22:25+00,2021-09-07 09:22:23+00,1,199,2022-03-09 09:22:25+00,2021-09-07 09:22:23+00,,,,,,,,,,,,,,,,,,,,,,,,,
33,2021-09-07 09:23:05.148102+00,20,,258,38,1,,2022-03-09 09:22:55+00,2021-09-07 09:22:53+00,1,205,2022-03-09 09:22:55+00,2021-09-07 09:22:53+00,,,,,,,,,,,,,,,,,,,,,,,,,
34,2021-09-07 09:24:38.060416+00,20,,260,38,1,,2022-03-09 09:24:29+00,2021-09-07 09:24:27+00,1,204,2022-03-09 09:24:29+00,2021-09-07 09:24:27+00,,,,,,,,,,,,,,,,,,,,,,,,,
35,2021-09-07 09:25:06.284739+00,20,,256,38,1,,2022-03-09 09:24:54+00,2021-09-07 09:24:52+00,1,198,2022-03-09 09:24:54+00,2021-09-07 09:24:52+00,,,,,,,,,,,,,,,,,,,,,,,,,
36,2021-09-07 09:25:44.674189+00,20,,262,38,1,,2022-03-09 09:25:32+00,2021-09-07 09:25:30+00,1,200,2022-03-09 09:25:32+00,2021-09-07 09:25:30+00,,,,,,,,,,,,,,,,,,,,,,,,,
37,2021-09-07 09:42:27.668036+00,20,,252,38,1,,2022-03-09 09:42:11+00,2021-09-07 09:42:08+00,1,202,2022-03-09 09:42:11+00,2021-09-07 09:42:08+00,,,,,,,,,,,,,,,,,,,,,,,,,
74,2022-01-24 11:43:17.519085+00,199,,490,38,1,,2022-02-26 11:43:02+00,2022-01-20 11:42:56+00,1,489,2022-02-26 11:43:02+00,2022-01-20 11:42:56+00,,,,,,,,,,,,,,,,,,,,,,,,,
104,2022-04-24 07:58:58.087571+00,9,,593,38,1,,2022-03-10 01:25:09+00,2022-03-01 01:25:07+00,12,307,2022-03-10 01:25:09+00,2022-03-01 01:25:07+00,,,,,,,,,,,,,,,,,,,,,,,,,
77,2022-01-27 22:53:32.422581+00,213,,509,38,1,,2022-01-30 22:53:23+00,2021-12-31 22:53:21+00,1,506,2022-01-30 22:53:23+00,2021-12-31 22:53:21+00,,,,,,,,,,,,,,,,,,,,,,,,,
78,2022-01-27 22:59:55.816291+00,214,,511,38,1,,2022-01-21 22:59:52+00,2021-12-31 22:59:50+00,1,505,2022-01-21 22:59:52+00,2021-12-31 22:59:50+00,,,,,,,,,,,,,,,,,,,,,,,,,
